2024-12-23 13:48:41 - (374, 166) - Space - 11
2024-12-23 13:48:41 - (381, 170) - Left Click - 11
2024-12-23 13:48:41 - (381, 170) - None - 11
2024-12-23 13:48:41 - (381, 177) - Left Click - 11
2024-12-23 13:48:41 - (381, 177) - Space - 11
2024-12-23 13:48:41 - (381, 177) - Left Click - 11
2024-12-23 13:48:42 - (381, 177) - None - 11
2024-12-23 13:48:42 - (384, 177) - None - 11
2024-12-23 13:48:42 - (454, 200) - None - 11
2024-12-23 13:48:42 - (455, 200) - None - 11
2024-12-23 13:48:42 - (458, 201) - Ctrl - 11
2024-12-23 13:48:42 - (458, 201) - Ctrl - 11
2024-12-23 13:48:42 - (458, 201) - Ctrl - 11
2024-12-23 13:48:42 - (458, 201) - Ctrl - 11
2024-12-23 13:48:42 - (458, 201) - Ctrl - 11
2024-12-23 13:48:43 - (458, 201) - Ctrl - 11
2024-12-23 13:48:43 - (458, 201) - Ctrl - 11
2024-12-23 13:48:43 - (466, 199) - None - 11
2024-12-23 13:48:43 - (824, 91) - None - 11
2024-12-23 13:48:43 - (827, 72) - None - 12
2024-12-23 13:48:43 - (1005, 79) - None - 12
2024-12-23 13:48:43 - (1353, 109) - None - 12
2024-12-23 13:48:43 - (1343, 103) - None - 12
2024-12-23 13:48:43 - (1332, 88) - None - 12
2024-12-23 13:48:44 - (1332, 88) - None - 12
2024-12-23 13:48:44 - (1327, 87) - None - 12
2024-12-23 13:48:44 - (929, 93) - None - 12
2024-12-23 13:48:44 - (891, 71) - None - 12
2024-12-23 13:48:44 - (970, 58) - None - 12
2024-12-23 13:48:44 - (1232, 127) - None - 12
2024-12-23 13:48:44 - (656, 70) - None - 12
2024-12-23 13:48:45 - (658, 74) - None - 12
2024-12-23 13:48:45 - (634, 91) - None - 12
2024-12-23 13:48:45 - (616, 78) - None - 12
2024-12-23 13:48:45 - (615, 78) - None - 12
2024-12-23 13:48:45 - (672, 68) - None - 12
2024-12-23 13:48:45 - (664, 60) - None - 12
2024-12-23 13:48:45 - (824, 50) - None - 12
2024-12-23 13:48:45 - (859, 50) - None - 12
2024-12-23 13:48:46 - (934, 41) - None - 12
2024-12-23 13:48:46 - (946, 39) - Left Click - 12
2024-12-23 13:48:46 - (946, 39) - None - 12
2024-12-23 13:48:46 - (953, 56) - None - 12
2024-12-23 13:48:46 - (960, 81) - None - 12
2024-12-23 13:48:46 - (960, 81) - None - 12
2024-12-23 13:48:46 - (960, 81) - None - 12
2024-12-23 13:48:46 - (950, 75) - None - 12
2024-12-23 13:48:47 - (939, 62) - None - 12
2024-12-23 13:48:47 - (938, 58) - None - 12
2024-12-23 13:48:47 - (934, 46) - None - 12
2024-12-23 13:48:47 - (934, 46) - Left Click - 12
2024-12-23 13:48:47 - (934, 46) - None - 12
2024-12-23 13:48:47 - (946, 64) - None - 12
2024-12-23 13:48:47 - (954, 78) - None - 12
2024-12-23 13:48:47 - (955, 78) - None - 12
2024-12-23 13:48:47 - (939, 69) - None - 12
2024-12-23 13:48:48 - (942, 73) - None - 13
2024-12-23 13:48:48 - (954, 79) - None - 13
2024-12-23 13:48:48 - (935, 48) - None - 13
2024-12-23 13:48:48 - (933, 47) - Left Click - 13
2024-12-23 13:48:48 - (943, 74) - None - 13
2024-12-23 13:48:48 - (952, 87) - None - 13
2024-12-23 13:48:48 - (952, 87) - Left Click - 13
2024-12-23 13:48:48 - (952, 87) - None - 13
2024-12-23 13:48:49 - (818, 62) - None - 13
2024-12-23 13:48:49 - (757, 67) - None - 13
2024-12-23 13:48:49 - (710, 70) - None - 13
2024-12-23 13:48:49 - (690, 55) - None - 13
2024-12-23 13:48:49 - (691, 45) - None - 13
2024-12-23 13:48:49 - (694, 41) - Left Click - 13
